systemId;type;scope
CREATE_ORG_MINE;CREATE_ORG;MINE
EDIT_ORG_ALL;EDIT_ORG;ALL
EDIT_ORG_MY_ORG;EDIT_ORG;MY_ORG
EDIT_ROLES_MY_ORG;EDIT_ROLES;MY_ORG
EDIT_ROLES_ALL;EDIT_ROLES;ALL
EDIT_USER_ROLES_ALL;EDIT_USER_ROLES;ALL
EDIT_USER_ROLES_MY_ORG;EDIT_USER_ROLES;MY_ORG
CREATE_PROCESS_MINE;CREATE_PROCESS;MINE
EDIT_PROCESS_MINE;EDIT_PROCESS;MINE
EDIT_PROCESS_MY_ORG;EDIT_PROCESS;MY_ORG
EDIT_PROCESS_ALL;EDIT_PROCESS;ALL
BUY_PROCESS_ALL;BUY_PROCESS;ALL
APPROVE_PROCESS_MY_ORG;APPROVE_PROCESS;MY_ORG
APPROVE_PROCESS_ALL;APPROVE_PROCESS;ALL